Date,PrevDayContext,OpenLocation,OpeningTrend,FirstCandleType,RangeStatus,Result,ResultRet%,DayHigh,DayLow,Open,High,Low,Close
2015-09-09,BULL,OAR,BEAR,DOJI,SAR,TR,-0.086,,,233.45,234.5,229.15,231.15
2015-09-10,TR,OBR,BEAR,DOJI,SBR,BULL,0.889,,,226.3,229.7,224.1,229.6
2015-09-11,BULL,OAR,BULL,NORMAL,SAR,BEAR,-1.246,,,230.85,233.3,228.0,230.5
2015-09-14,TR,OIM,TR,NORMAL,SWR,BULL,2.061,,,231.55,235.95,230.0,235.3
2015-09-15,BULL,OOH,BEAR,NORMAL,WAR,TR,-0.106,,,235.2,238.3,232.7,233.0
2015-09-16,TR,OIM,TR,DOJI,SWR,TR,0.424,,,236.1,237.75,235.05,236.85
2015-09-18,TR,OAR,BULL,HUGE OPEN,SAR,TR,-0.021,,,239.8,246.3,239.8,240.7
2015-09-21,TR,OBR,TR,NORMAL,SBR,BULL,2.153,,,239.35,246.0,237.35,245.8
2015-09-22,BULL,OAR,TR,NORMAL,SAR,BEAR,-3.579,,,247.25,248.3,236.25,237.8
2015-09-23,BEAR,OBR,BULL,DOJI,SBR,BULL,1.716,,,234.9,241.9,233.65,240.5
2015-09-24,BULL,OIM,TR,NORMAL,SWR,TR,-0.125,,,239.4,241.45,238.05,239.4
2015-09-28,TR,OOH,TR,NORMAL,SWR,TR,-0.458,,,241.0,243.65,238.65,240.95
2015-09-29,TR,OBR,BULL,DOJI,SBR,BULL,1.961,,,236.1,245.4,232.3,241.6
2015-09-30,TR,OOH,BEAR,DOJI,SWR,BEAR,-2.61,,,244.85,245.35,235.7,238.0
2015-10-01,BEAR,OIM,BEAR,DOJI,SWR,BEAR,-1.71,,,241.25,241.9,234.5,235.5
2015-10-05,BEAR,OIM,BULL,DOJI,SWR,TR,0.503,,,238.5,241.3,237.25,241.2
2015-10-06,BULL,OAR,BEAR,DOJI,SWR,TR,-0.27,,,242.2,242.7,237.7,239.95
2015-10-07,TR,OIM,TR,NORMAL,SWR,TR,0.6,,,240.4,244.25,239.05,243.75
2015-10-08,BULL,OIM,TR,NORMAL,SWR,BULL,0.661,,,242.4,245.15,241.2,243.45
2015-10-09,TR,OAR,BULL,NORMAL,SAR,BEAR,-1.014,,,245.55,247.8,240.9,242.9
2015-10-12,TR,OIM,TR,NORMAL,SWR,TR,0.494,,,244.1,245.5,241.35,244.15
2015-10-13,TR,OIM,BULL,HUGE OPEN,WAR,TR,-0.529,,,243.8,247.5,242.05,243.9
2015-10-14,TR,OOL,BULL,DOJI,SWR,TR,-0.225,,,243.65,246.75,243.2,245.1
2015-10-15,TR,OOH,BULL,NORMAL,WAR,TR,0.525,,,245.9,249.85,245.85,249.0
2015-10-16,BULL,OAR,BEAR,DOJI,SWR,BULL,1.646,,,249.9,257.1,248.35,256.65
2015-10-19,BULL,OOH,TR,NORMAL,SWR,TR,-0.294,,,256.25,257.1,253.5,254.05
2015-10-20,BEAR,OIM,TR,NORMAL,SWR,TR,0.296,,,254.65,257.1,253.2,254.8
2015-10-21,TR,OIM,BULL,DOJI,SWR,BEAR,-1.978,,,254.5,255.85,248.55,249.4
2015-10-23,BEAR,OIM,TR,NORMAL,SWR,TR,-0.138,,,253.25,254.85,252.0,253.15
2015-10-26,TR,OOH,TR,NORMAL,WAR,BEAR,-1.335,,,254.6,256.0,250.4,251.4
2015-10-27,BEAR,OOL,TR,NORMAL,SWR,BEAR,-0.658,,,250.5,252.2,248.1,248.4
2015-10-28,BEAR,OOL,BEAR,DOJI,SWR,BEAR,-2.357,,,248.35,249.4,241.2,241.7
2015-10-29,BEAR,OOL,TR,DOJI,WBR,BEAR,-1.578,,,241.4,241.8,236.45,237.0
2015-10-30,BEAR,OIM,TR,DOJI,SWR,BEAR,-0.774,,,238.25,240.4,235.1,237.3
2015-11-02,TR,OIM,BEAR,NORMAL,SWR,TR,0.19,,,237.95,237.95,232.7,237.9
2015-11-03,TR,OAR,BEAR,NORMAL,SAR,BEAR,-1.381,,,239.4,239.6,235.0,236.55
2015-11-04,BEAR,OOH,BEAR,NORMAL,SWR,TR,0.378,,,239.35,240.5,237.0,238.85
2015-11-05,TR,OIM,TR,DOJI,SWR,BEAR,-2.035,,,238.35,239.0,233.15,233.95
2015-11-06,BEAR,OIM,BULL,NORMAL,SWR,BULL,2.44,,,235.45,244.75,233.05,243.9
2015-11-09,BULL,OOL,BULL,HUGE OPEN,WAR,TR,-0.485,,,236.0,248.25,235.9,245.65
2015-11-10,BULL,OOH,BULL,NORMAL,SWR,BEAR,-2.167,,,244.65,247.25,240.1,241.5
2015-11-13,TR,OOL,TR,NORMAL,WBR,TR,-0.27,,,241.45,241.8,237.8,240.3
2015-11-16,TR,OIM,TR,HUGE OPEN,WAR,BULL,2.751,,,239.35,249.35,239.15,248.8
2015-11-17,BULL,OAR,TR,DOJI,SAR,BEAR,-0.62,,,250.25,251.65,246.7,247.6
2015-11-18,BEAR,OOL,BULL,NORMAL,SWR,BEAR,-2.877,,,247.35,248.7,239.8,240.45
2015-11-19,BEAR,OIM,TR,NORMAL,SWR,TR,0.516,,,243.3,245.0,241.4,244.25
2015-11-20,TR,OIM,TR,NORMAL,SWR,TR,-0.144,,,243.8,249.65,242.0,243.0
2015-11-23,TR,OOL,TR,DOJI,SWR,TR,-0.594,,,243.8,245.2,240.65,242.6
2015-11-24,TR,OIM,BULL,NORMAL,SWR,BEAR,-0.822,,,242.5,244.0,240.8,241.6
2015-11-26,TR,OIM,BULL,DOJI,SWR,TR,-0.309,,,241.8,244.9,241.05,243.5
2015-11-27,TR,OIM,BULL,NORMAL,SWR,BULL,2.361,,,243.0,250.45,242.95,249.5
2015-11-30,BULL,OOH,TR,NORMAL,WAR,TR,-0.437,,,249.3,253.0,248.25,248.65
2015-12-01,TR,OIM,BEAR,DOJI,SWR,TR,0.0,,,250.65,251.85,249.5,249.95
2015-12-02,TR,OIM,BEAR,HUGE OPEN,WBR,BEAR,-1.309,,,250.45,250.65,243.75,244.55
2015-12-03,BEAR,OOL,BEAR,NORMAL,WBR,BEAR,-0.761,,,244.1,244.3,240.55,241.5
2015-12-04,BEAR,OBR,BULL,NORMAL,SBR,BULL,1.004,,,239.7,242.1,238.1,241.7
2015-12-07,BULL,OAR,BEAR,NORMAL,SWR,BEAR,-1.323,,,242.9,242.9,238.0,238.9
2015-12-08,BEAR,OOL,BULL,NORMAL,SWR,BEAR,-1.481,,,238.2,239.95,235.3,235.5
2015-12-09,BEAR,OOL,BULL,NORMAL,SWR,BEAR,-1.37,,,235.5,238.2,233.7,235.0
2015-12-10,TR,OIM,BEAR,NORMAL,SWR,BEAR,-0.895,,,236.0,236.65,230.6,232.05
2015-12-11,BEAR,OIM,TR,NORMAL,SWR,BEAR,-2.322,,,232.9,233.9,225.1,227.2
2015-12-14,BEAR,OBR,TR,NORMAL,SWR,BULL,0.735,,,224.8,227.65,224.0,226.0
2015-12-15,TR,OOH,BEAR,NORMAL,SWR,TR,0.243,,,226.95,227.15,224.0,226.1
2015-12-16,TR,OAR,BEAR,NORMAL,SWR,BULL,0.619,,,227.65,229.55,225.35,227.15
2015-12-17,TR,OAR,TR,NORMAL,SAR,TR,-0.367,,,230.0,232.35,228.7,231.0
2015-12-18,TR,OIM,BULL,NORMAL,SWR,BEAR,-2.136,,,229.8,232.2,225.85,226.05
2015-12-21,BEAR,OOL,BULL,DOJI,SWR,BULL,1.031,,,226.8,231.0,226.5,230.5
2015-12-22,BULL,OAR,TR,NORMAL,SAR,BEAR,-1.339,,,231.55,232.2,227.5,228.65
2015-12-23,BEAR,OIM,TR,NORMAL,SWR,TR,0.022,,,230.25,231.0,229.15,229.75
