Date,OpeningTrend,Result,OpenLocation,FirstCandleType,RangeStatus,PrevDayContext,DayHigh,DayLow,Open,High,Low,Close
2016-01-11,BULL,Bull Leg,OBR,NORMAL,SWR,BULL,,,343.9,364.75,341.9,360.45
2016-01-12,BEAR,Bear Leg,OOH,NORMAL,SWR,BULL,,,362.6,363.8,351.65,355.4
2016-01-13,BULL,Bull Leg,OOH,NORMAL,SWR,BEAR,,,360.65,369.7,356.3,363.2
2016-01-14,BEAR,Bull Leg,OOL,NORMAL,WBR,TR,,,356.35,357.7,346.8,353.8
2016-01-15,BEAR,Bear Leg,OIM,NORMAL,SWR,TR,,,353.4,353.75,339.45,340.7
2016-01-18,BEAR,Bull Leg,OOL,NORMAL,WBR,BEAR,,,340.45,343.25,334.55,340.5
2016-01-19,BULL,Bull Leg,OAR,NORMAL,SAR,TR,,,343.7,357.2,342.05,354.25
2016-01-20,BEAR,Bear Leg,OIM,NORMAL,SWR,BULL,,,349.1,349.5,338.8,341.5
2016-01-21,TR,Bear Leg,OOL,NORMAL,WBR,BEAR,,,340.0,344.1,323.05,327.6
2016-01-22,TR,Bull Leg,OIM,DOJI,SWR,BEAR,,,334.3,345.75,331.5,340.0
2016-01-25,TR,Bear Leg,OOH,NORMAL,SWR,TR,,,344.9,345.45,331.15,333.65
2016-01-27,BEAR,Bull Leg,OIM,DOJI,SWR,BEAR,,,338.4,341.0,333.3,338.0
2016-01-28,BULL,Bear Leg,OIM,NORMAL,WAR,TR,,,336.85,341.25,332.5,333.85
2016-01-29,TR,Bull Leg,OBR,NORMAL,SWR,TR,,,332.1,340.5,324.2,336.8
2016-02-01,BEAR,Bull Leg,OOH,NORMAL,SWR,TR,,,338.7,342.25,332.4,335.25
2016-02-02,BEAR,Bear Leg,OAR,NORMAL,SWR,TR,,,344.1,344.4,327.7,329.0
2016-02-03,TR,Bear Leg,OBR,NORMAL,SBR,BEAR,,,325.5,325.95,317.05,320.5
2016-02-04,BEAR,TR,OOH,NORMAL,SWR,TR,,,325.45,329.2,321.25,327.05
2016-02-05,BULL,Bull Leg,OAR,NORMAL,SWR,TR,,,330.65,338.9,326.7,336.7
2016-02-08,BEAR,Bear Leg,OIM,NORMAL,SWR,BULL,,,334.55,334.6,321.35,322.0
2016-02-09,BULL,Bear Leg,OBR,DOJI,SWR,BEAR,,,318.9,322.65,308.8,311.0
2016-02-10,BEAR,Bear Leg,OOL,HUGE OPEN,WBR,BEAR,,,309.1,309.75,288.3,288.95
2016-02-11,BEAR,Bear Leg,OIM,NORMAL,SWR,BEAR,,,298.7,299.0,266.0,271.3
2016-02-12,TR,Bull Leg,OIM,DOJI,SWR,BEAR,,,281.1,303.8,272.0,296.05
2016-02-15,TR,Bull Leg,OOH,NORMAL,WAR,BULL,,,297.9,320.75,297.8,316.05
2016-02-16,BEAR,Bear Leg,OOH,DOJI,WAR,BULL,,,319.35,324.05,299.0,301.85
