Date,PrevDayContext,OpenLocation,OpeningTrend,FirstCandleType,RangeStatus,Result,ResultRet%
2016-03-21,BULL,WithinPrevRange,BEAR,Bear,WideRange,BULL,0.956
2016-03-22,TR,WithinPrevRange,TR,Bear,WideRange,TR,0.219
2016-03-23,TR,WithinPrevRange,BULL,Bull,WideRange,BULL,4.006
2016-03-28,BULL,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-3.121
2016-03-29,BEAR,WithinPrevRange,BULL,Bear,WideRange,BEAR,-1.094
2016-03-30,BEAR,WithinPrevRange,TR,Bull,WideRange,BULL,5.822
2016-03-31,BULL,WithinPrevRange,BULL,Bull,WideRange,TR,0.136
2016-04-01,TR,WithinPrevRange,BULL,Bear,WideRange,BULL,3.329
2016-04-04,BULL,GapUp>PrevHigh,TR,Bull,WideRange,TR,0.062
2016-04-05,TR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-5.57
2016-04-06,BEAR,WithinPrevRange,TR,Bull,WideRange,BULL,0.667
2016-04-07,BULL,GapUp>PrevHigh,BEAR,Bull,WideRange,TR,-0.263
2016-04-08,TR,WithinPrevRange,BULL,Bear,WideRange,BULL,2.165
2016-04-11,BULL,WithinPrevRange,BEAR,Bear,WideRange,BULL,2.958
2016-04-12,TR,WithinPrevRange,BULL,Bear,WideRange,BEAR,-1.616
2016-04-13,TR,WithinPrevRange,TR,Bull,WideRange,TR,0.0
2016-04-18,TR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-0.601
2016-04-20,TR,WithinPrevRange,TR,Bull,WideRange,BULL,0.958
2016-04-21,TR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-1.009
2016-04-22,BEAR,WithinPrevRange,BEAR,Bear,WideRange,TR,-0.426
2016-04-25,BEAR,WithinPrevRange,TR,Bull,WideRange,BULL,2.471
2016-04-26,BULL,WithinPrevRange,TR,Doji,WideRange,BULL,2.061
2016-04-27,BULL,WithinPrevRange,BULL,Bull,WideRange,BULL,1.358
2016-04-28,BULL,WithinPrevRange,TR,Bear,WideRange,BEAR,-1.761
2016-04-29,BEAR,WithinPrevRange,BULL,Doji,WideRange,BULL,4.055
2016-05-02,TR,WithinPrevRange,BEAR,Bear,WideRange,BULL,2.712
2016-05-03,TR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-2.335
2016-05-04,TR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-5.496
2016-05-05,BEAR,GapDown<PrevLow,TR,Bear,WideRange,TR,0.514
2016-05-06,TR,WithinPrevRange,BEAR,Bull,WideRange,BEAR,-1.541
2016-05-09,TR,WithinPrevRange,TR,Bull,WideRange,TR,-0.193
2016-05-10,TR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-2.916
2016-05-11,BEAR,GapDown<PrevLow,BULL,Bull,WideRange,BULL,0.606
2016-05-12,TR,WithinPrevRange,BULL,Bull,Normal,TR,-0.265
2016-05-13,BULL,WithinPrevRange,BULL,Bull,WideRange,BEAR,-4.299
2016-05-16,TR,WithinPrevRange,TR,Bull,WideRange,BULL,3.388
2016-05-17,BULL,WithinPrevRange,BEAR,Bear,WideRange,TR,-0.467
2016-05-18,BEAR,GapDown<PrevLow,BULL,Bull,WideRange,BULL,1.348
2016-05-19,TR,WithinPrevRange,BULL,Bear,WideRange,BEAR,-4.15
2016-05-20,BEAR,WithinPrevRange,BULL,Bear,WideRange,BEAR,-4.184
2016-05-23,BEAR,WithinPrevRange,TR,Bull,WideRange,TR,0.287
2016-05-24,TR,WithinPrevRange,BULL,Bull,WideRange,BULL,1.151
2016-05-25,BULL,GapUp>PrevHigh,TR,Bear,Normal,TR,0.0
2016-05-26,TR,GapUp>PrevHigh,BULL,Bear,WideRange,BULL,2.77
2016-05-27,BULL,WithinPrevRange,TR,Bull,WideRange,BEAR,-2.602
2016-05-30,TR,WithinPrevRange,TR,Bull,WideRange,TR,-0.067
2016-05-31,TR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-1.882
